64kB, 64kB, 256kB, 1, 1, 4, 32 0.074654 0.037466 0.991803 51.262870
64kB, 64kB, 256kB, 1, 2, 4, 32 0.074654 0.037396 0.992966 51.320600
64kB, 64kB, 256kB, 1, 4, 4, 32 0.074654 0.037396 0.992966 51.320600
64kB, 64kB, 256kB, 1, 32, 4, 32 0.074654 0.037396 0.992966 51.320600
64kB, 64kB, 256kB, 2, 1, 4, 32 0.073502 0.037466 0.997644 51.548008
64kB, 64kB, 256kB, 2, 2, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 2, 4, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 2, 32, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 4, 1, 4, 32 0.073502 0.037466 0.997644 51.548008
64kB, 64kB, 256kB, 4, 2, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 4, 4, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 4, 32, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 32, 1, 4, 32 0.073502 0.037466 0.997644 51.548008
64kB, 64kB, 256kB, 32, 2, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 32, 4, 4, 32 0.073502 0.037396 0.998821 51.606438
64kB, 64kB, 256kB, 32, 32, 4, 32 0.073502 0.037396 0.998821 51.606438
