L1_Data,L1_Inst,L2,L1_Data_Ass,L1_Inst_Ass,L2_Ass,Block_Size,L1dcache_miss,L1icache_miss,L2_miss,Total_CPI
64kB, 64kB, 256kB,1,1,1,32,0.064634,0.000001,0.992554,51.01551
64kB, 64kB, 256kB,1,2,1,32,0.064634,0.000001,0.992555,51.01556
64kB, 64kB, 256kB,1,4,1,32,0.064634,0.000001,0.992556,51.01561
64kB, 64kB, 256kB,1,32,1,32,0.064634,0.000001,0.992556,51.01561
64kB, 64kB, 256kB,2,1,1,32,0.064203,0.000001,0.999203,51.345374
64kB, 64kB, 256kB,2,2,1,32,0.064203,0.000001,0.999204,51.345424
64kB, 64kB, 256kB,2,4,1,32,0.064203,0.000001,0.999205,51.345474
64kB, 64kB, 256kB,2,32,1,32,0.064203,0.000001,0.999205,51.345474
64kB, 64kB, 256kB,4,1,1,32,0.064205,0.000001,0.99918,51.344236
64kB, 64kB, 256kB,4,2,1,32,0.064205,0.000001,0.999181,51.344286
64kB, 64kB, 256kB,4,4,1,32,0.064205,0.000001,0.999182,51.344336
64kB, 64kB, 256kB,4,32,1,32,0.064205,0.000001,0.999182,51.344336
64kB, 64kB, 256kB,32,1,1,32,0.064206,0.000001,0.999139,51.342192
64kB, 64kB, 256kB,32,2,1,32,0.064206,0.000001,0.99914,51.342242
64kB, 64kB, 256kB,32,4,1,32,0.064206,0.000001,0.99914,51.342242
64kB, 64kB, 256kB,32,32,1,32,0.064206,0.000001,0.99914,51.342242
64kB, 64kB, 256kB,1,1,2,32,0.064634,0.000001,0.992036,50.98961
64kB, 64kB, 256kB,1,2,2,32,0.064634,0.000001,0.992036,50.98961
64kB, 64kB, 256kB,1,4,2,32,0.064634,0.000001,0.992037,50.98966
64kB, 64kB, 256kB,1,32,2,32,0.064634,0.000001,0.992037,50.98966
64kB, 64kB, 256kB,2,1,2,32,0.064203,0.000001,0.998703,51.320374
64kB, 64kB, 256kB,2,2,2,32,0.064203,0.000001,0.998704,51.320424
64kB, 64kB, 256kB,2,4,2,32,0.064203,0.000001,0.998705,51.320474
64kB, 64kB, 256kB,2,32,2,32,0.064203,0.000001,0.998705,51.320474
64kB, 64kB, 256kB,4,1,2,32,0.064205,0.000001,0.998678,51.319136
64kB, 64kB, 256kB,4,2,2,32,0.064205,0.000001,0.998679,51.319186
64kB, 64kB, 256kB,4,4,2,32,0.064205,0.000001,0.99868,51.319236
64kB, 64kB, 256kB,4,32,2,32,0.064205,0.000001,0.99868,51.319236
64kB, 64kB, 256kB,32,1,2,32,0.064206,0.000001,0.998629,51.316692
64kB, 64kB, 256kB,32,2,2,32,0.064206,0.000001,0.99863,51.316742
64kB, 64kB, 256kB,32,4,2,32,0.064206,0.000001,0.998631,51.316792
64kB, 64kB, 256kB,32,32,2,32,0.064206,0.000001,0.998631,51.316792
64kB, 64kB, 256kB,1,1,4,32,0.064634,0.000001,0.991352,50.95541
64kB, 64kB, 256kB,1,2,4,32,0.064634,0.000001,0.991353,50.95546
64kB, 64kB, 256kB,1,4,4,32,0.064634,0.000001,0.991354,50.95551
64kB, 64kB, 256kB,1,32,4,32,0.064634,0.000001,0.991354,50.95551
64kB, 64kB, 256kB,2,1,4,32,0.064203,0.000001,0.998104,51.290424
64kB, 64kB, 256kB,2,2,4,32,0.064203,0.000001,0.998105,51.290474
64kB, 64kB, 256kB,2,4,4,32,0.064203,0.000001,0.998106,51.290524
64kB, 64kB, 256kB,2,32,4,32,0.064203,0.000001,0.998106,51.290524
64kB, 64kB, 256kB,4,1,4,32,0.064205,0.000001,0.998095,51.289986
64kB, 64kB, 256kB,4,2,4,32,0.064205,0.000001,0.998096,51.290036
64kB, 64kB, 256kB,4,4,4,32,0.064205,0.000001,0.998096,51.290036
64kB, 64kB, 256kB,4,32,4,32,0.064205,0.000001,0.998096,51.290036
64kB, 64kB, 256kB,32,1,4,32,0.064206,0.000001,0.998047,51.287592
64kB, 64kB, 256kB,32,2,4,32,0.064206,0.000001,0.998048,51.287642
64kB, 64kB, 256kB,32,4,4,32,0.064206,0.000001,0.998049,51.287692
64kB, 64kB, 256kB,32,32,4,32,0.064206,0.000001,0.998049,51.287692
64kB, 64kB, 256kB,1,1,32,32,0.064634,0.000001,0.991274,50.95151
64kB, 64kB, 256kB,1,2,32,32,0.064634,0.000001,0.991275,50.95156
64kB, 64kB, 256kB,1,4,32,32,0.064634,0.000001,0.991276,50.95161
64kB, 64kB, 256kB,1,32,32,32,0.064634,0.000001,0.991276,50.95161
64kB, 64kB, 256kB,2,1,32,32,0.064203,0.000001,0.997899,51.280174
64kB, 64kB, 256kB,2,2,32,32,0.064203,0.000001,0.9979,51.280224
64kB, 64kB, 256kB,2,4,32,32,0.064203,0.000001,0.997901,51.280274
64kB, 64kB, 256kB,2,32,32,32,0.064203,0.000001,0.997901,51.280274
64kB, 64kB, 256kB,4,1,32,32,0.064205,0.000001,0.997859,51.278186
64kB, 64kB, 256kB,4,2,32,32,0.064205,0.000001,0.99786,51.278236
64kB, 64kB, 256kB,4,4,32,32,0.064205,0.000001,0.997861,51.278286
64kB, 64kB, 256kB,4,32,32,32,0.064205,0.000001,0.997861,51.278286
64kB, 64kB, 256kB,32,1,32,32,0.064206,0.000001,0.997838,51.277142
64kB, 64kB, 256kB,32,2,32,32,0.064206,0.000001,0.997839,51.277192
64kB, 64kB, 256kB,32,4,32,32,0.064206,0.000001,0.99784,51.277242
64kB, 64kB, 256kB,32,32,32,32,0.064206,0.000001,0.99784,51.277242
